Name,RAM,price
Acer Liquid Z630,2000,216
Alcatel One Touch Idol 3,2000,250
Droid Turbo 2,3000,520
Honor 5X,2000,200
HTC Butterfly 3,3000,530
iPhone 6S,2000,550
Lava Pixel V1,2000,150
Lenovo A6000,1000,150
LG G4,3000,550
Microsoft Lumia 430,1000,120
Microsoft Lumia 950 XL,3000,650
Moto E (2nd generation),1000,100
Samsung Galaxy A3,1500,260
Samsung Galaxy C7,4000,600
Samsung Galaxy E7,2000,300
Samsung Galaxy Note 5,4000,770
